job_title,job_detail_url,job_listed,company_name,company_link,company_location
Interesting Job Opportunity: Deqode - Python Developer - Django/Flask,https://in.linkedin.com/jobs/view/interesting-job-opportunity-deqode-python-developer-django-flask-at-deqode-3743858137?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=ENiJtLL%2BRgusD0VTYCmW%2FQ%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,Deqode,https://www.linkedin.com/company/deqodesolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India"
"Software Engineering Manager II, Google TV",https://in.linkedin.com/jobs/view/software-engineering-manager-ii-google-tv-at-google-3747432129?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=oyqU5wpanU%2B9d3q3yrewFA%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,Google,https://www.linkedin.com/company/google?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
IOT Analyst,https://in.linkedin.com/jobs/view/iot-analyst-at-zypp-electric-3743677580?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=YwV2wS4ZbJagyjMl%2BTowzg%3D%3D&position=18&pageNum=10&trk=public_jobs_jserp-result_search-card,2 weeks ago,Zypp Electric,https://in.linkedin.com/company/zyppelectric?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurugram, Haryana, India"
Full Stack Developer (Python) - Remote,https://in.linkedin.com/jobs/view/full-stack-developer-python-remote-at-monetizemore-3725849165?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=zTEjy8PXYO6fAFSEECHuLA%3D%3D&position=19&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago,MonetizeMore,https://ca.linkedin.com/company/monetizemore?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
"Data Analytics Apprenticeship, March or June 2024 Start",https://in.linkedin.com/jobs/view/data-analytics-apprenticeship-march-or-june-2024-start-at-google-3747429632?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=if0euUwg6a47s1k66absDA%3D%3D&position=20&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,Google,https://www.linkedin.com/company/google?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurgaon, Haryana, India"
Cloud & BI Platforms - Engineer,https://in.linkedin.com/jobs/view/cloud-bi-platforms-engineer-at-deutsche-bank-3754305009?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=7N6IruSs74IxRGB4eP9j5g%3D%3D&position=21&pageNum=10&trk=public_jobs_jserp-result_search-card,6 days ago,Deutsche Bank,https://de.linkedin.com/company/deutsche-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
Investments-Senior Engineer,https://in.linkedin.com/jobs/view/investments-senior-engineer-at-deutsche-bank-3749623842?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=MPcqrdgqAdeELv0%2BLRIBGg%3D%3D&position=22&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,Deutsche Bank,https://de.linkedin.com/company/deutsche-bank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India"
Nykaa - Software Development Engineer II - Test - Java/Python,https://in.linkedin.com/jobs/view/nykaa-software-development-engineer-ii-test-java-python-at-nykaa-3714345660?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=NmdFqAkEOnRey1qoEiAE0A%3D%3D&position=23&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago,Nykaa,https://in.linkedin.com/company/nykaa-com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurugram, Haryana, India"
Data Scientist-Noida,https://in.linkedin.com/jobs/view/data-scientist-noida-at-shiva-hr-services-3747927598?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=%2FDX09N1LvsMZMxJAYqfmDg%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,SHIVA HR SERVICES,https://www.linkedin.com/company/shivahrservices?trk=public_jobs_jserp-result_job-search-card-subtitle,"Noida, Uttar Pradesh, India"
Python,https://in.linkedin.com/jobs/view/python-at-fusion-plus-solutions-inc-3729381067?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=Hop6yf6pDC9HZm3wh2A8sg%3D%3D&position=25&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago,Fusion Plus Solutions Inc,https://www.linkedin.com/company/fusion-plus-solutions-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India"
